Experiment,time[h],VCD,Glc,Gln,Amm,Lac,reactor_temperature,pH,reactor_volume,disc_volume_feed,disc_Glc_feed_g,disc_Gln_feed_g,conti_volume_feed,conti_glucose_feed_g,conti_glutamine_feed_g,stirring_rate,inital_volume,total_run_time
60,24.0,0.6081538223718845,47.52274455141562,2.738429237161272,0.943259192078,3.939034438148089,36.75415940706692,6.969510850206987,0.9499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,182.40052701244164,1.0,336.0
60,48.0,1.316969226055563,41.16444628215863,1.4942840828498491,1.8289254483503254,11.759741309334187,36.75415940706692,6.969510850206987,0.9499999999999998,0.05,14.863569615146623,5.1720525005637805,0.0,0.0,0.0,182.40052701244164,1.0,336.0
60,72.0,2.037867884169737,45.50736605670315,4.64970083252029,3.3997063997656145,22.378571160129553,36.75415940706692,6.969510850206987,0.9499999999999998,0.05,14.863569615146623,5.1720525005637805,0.0,0.0,0.0,182.40052701244164,1.0,336.0
60,96.0,2.4340081630431762,48.90713197350467,7.156223945804926,5.310827930790796,33.3174475626075,36.75415940706692,6.969510850206987,0.9499999999999998,0.05,14.863569615146623,5.1720525005637805,0.0,0.0,0.0,182.40052701244164,1.0,336.0
60,120.0,2.430978645375378,53.00542355443263,9.322410111079156,7.370233878346931,42.60131695188655,36.75415940706692,6.969510850206987,0.9499999999999998,0.05,14.863569615146623,5.1720525005637805,0.0,0.0,0.0,182.40052701244164,1.0,336.0
60,144.0,2.1534466415445186,58.455956119957484,11.260314026412516,9.52461110683046,49.46799477043667,35.80708589924469,6.969510850206987,0.9499999999999998,0.05,14.863569615146623,5.1720525005637805,0.0,0.0,0.0,182.40052701244164,1.0,336.0
60,168.0,1.7192061260200713,66.33413227390484,13.156275966708527,11.666785101212119,52.634416613429984,35.80708589924469,6.969510850206987,0.9499999999999998,0.05,14.863569615146623,5.1720525005637805,0.0,0.0,0.0,182.40052701244164,1.0,336.0
60,192.0,1.3170183588733881,74.9856343442962,14.768899920913778,13.956069867826447,54.17298555223145,35.80708589924469,6.862304394613713,0.9499999999999998,0.05,14.863569615146623,5.1720525005637805,0.0,0.0,0.0,182.40052701244164,1.0,336.0
60,216.0,0.9858499987992726,84.25963825549229,16.149903178066015,16.341266071827103,54.3048289907703,35.80708589924469,6.862304394613713,0.9499999999999998,0.05,14.863569615146623,5.1720525005637805,0.0,0.0,0.0,182.40052701244164,1.0,336.0
60,240.0,0.7213441220375973,93.71709520264844,17.29647305771447,18.807889966968126,53.60371633985145,35.80708589924469,6.862304394613713,0.9499999999999998,0.05,14.863569615146623,5.1720525005637805,0.0,0.0,0.0,182.40052701244164,1.0,336.0
60,264.0,0.518100979805306,103.18223468963915,18.243002738461353,21.31880664826802,52.31780893366855,35.80708589924469,6.862304394613713,0.9499999999999998,0.05,14.863569615146623,5.1720525005637805,0.0,0.0,0.0,182.40052701244164,1.0,336.0
60,288.0,0.36650273486789414,112.52061166441082,19.020289455249713,23.842504011121196,50.64275551420897,35.80708589924469,6.862304394613713,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,182.40052701244164,1.0,336.0
60,312.0,0.2685294304271452,111.88680302841891,15.926011806786894,26.892831855558008,51.422340136479015,35.80708589924469,6.862304394613713,0.85,0.0,0.0,0.0,0.0,0.0,0.0,182.40052701244164,1.0,336.0
66,0.0,0.2992111886175617,27.08152572632957,6.975218351801599,0.1,0.1,36.31907898559033,6.973033820039845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,172.7366479022666,1.0,336.0
66,24.0,0.6909920455907931,23.78903112676137,5.4263506546055424,1.4535015698324878,4.149768357468888,36.31907898559033,6.973033820039845,1.0,0.05,21.333451445189258,3.242899777435952,0.0,0.0,0.0,172.7366479022666,1.0,336.0
66,48.0,1.1186677056700698,38.96010027275173,6.438229968579411,3.041518556820046,10.058984753314258,36.31907898559033,6.973033820039845,1.0,0.05,21.333451445189258,3.242899777435952,0.0,0.0,0.0,172.7366479022666,1.0,336.0
66,72.0,1.4330635016598299,52.4921503597924,7.183137168903261,4.708638518492604,16.75571301939708,36.31907898559033,6.973033820039845,1.0,0.05,21.333451445189258,3.242899777435952,0.0,0.0,0.0,172.7366479022666,1.0,336.0
66,96.0,1.5586535889126154,65.32219993477061,7.817915411358761,6.358887671196994,23.148844421659568,36.31907898559033,6.973033820039845,1.0,0.05,21.333451445189258,3.242899777435952,0.0,0.0,0.0,172.7366479022666,1.0,336.0
66,120.0,1.5148576607460253,78.0381728053452,8.414988711890883,7.9611226997765305,28.57358555136423,36.31907898559033,6.973033820039845,1.0,0.05,21.333451445189258,3.242899777435952,0.0,0.0,0.0,172.7366479022666,1.0,336.0
66,144.0,1.3602878129351534,90.90174849876922,8.994141600539612,9.517247775623968,32.7635058209385,36.31907898559033,6.973033820039845,1.0,0.05,21.333451445189258,3.242899777435952,0.0,0.0,0.0,172.7366479022666,1.0,336.0
66,168.0,1.1530522775853909,103.96364613507792,9.552136086402864,11.038801201656785,35.70888418214036,36.31907898559033,6.973033820039845,1.0,0.05,21.333451445189258,3.242899777435952,0.0,0.0,0.0,172.7366479022666,1.0,336.0
66,192.0,0.9357452932293938,117.16086040884502,10.079020497619593,12.536330240676879,37.53724745657528,36.31907898559033,6.973033820039845,1.0,0.05,21.333451445189258,3.242899777435952,0.0,0.0,0.0,172.7366479022666,1.0,336.0
66,216.0,0.7340655688335269,130.38132967281533,10.565358797463187,14.0161602028111,38.4339602515018,36.31907898559033,6.973033820039845,1.0,0.05,21.333451445189258,3.242899777435952,0.0,0.0,0.0,172.7366479022666,1.0,336.0
66,240.0,0.5604502404308728,143.50262656653234,11.004780971210145,15.48036231499858,38.59476056235943,36.31907898559033,6.973033820039845,0.9499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,172.7366479022666,1.0,336.0
